SYMPTOM,VAERS_ID,AGE_YRS,DIED,L_THREAT,OTHER_MEDS,CUR_ILL,HISTORY,PRIOR_VAX,ALLERGIES,HOSPITAL,F,M,JANSSEN,MODERNA,PFIZER,VAX_DOSE_SERIES_1,VAX_DOSE_SERIES_2,VAX_SITE_LA,VAX_SITE_RA,AGE_GROUP
Chills,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100
Arthralgia,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360,7360
Injection site erythema,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
Dizziness,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350,5350
Headache,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235,5235
Fatigue,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940,4940
Asthenia,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955,3955
Pyrexia,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855
Erythema,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025
Pain,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
Death,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675,2675
Nausea,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525
Pain in extremity,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
Injection site pain,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925
Pruritus,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785
Rash,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645
Chest discomfort,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
Myalgia,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535
Dyspnoea,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525
Diarrhoea,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
COVID-19,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
Hypoaesthesia,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335
Vomiting,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325
Abdominal pain,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
Body temperature increased,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240
Blood pressure increased,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225
Anxiety,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210
Back pain,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185
Lymphadenopathy,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140
Cough,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
Axillary pain,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
Blood test,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005
Abdominal pain upper,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Urticaria,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Chest pain,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
Paraesthesia,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930
Abdominal discomfort,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830
Condition aggravated,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805,805
Body temperature,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695
Ageusia,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690
SARS-CoV-2 test negative,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685
Anaphylactic reaction,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650
Injection site swelling,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630
Feeling abnormal,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625
Flushing,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625
Malaise,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615
Burning sensation,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610
Tremor,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585
Feeling hot,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560
Injection site rash,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555
Heart rate increased,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545
Injection site pruritus,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535
Hyperhidrosis,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
Paraesthesia oral,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Injection site warmth,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
Palpitations,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490
Tachycardia,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445
No adverse event,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435
Peripheral swelling,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
Facial paralysis,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
Cellulitis,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
Decreased appetite,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
SARS-CoV-2 test positive,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
Hypoaesthesia oral,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
Dysgeusia,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
Vaccination site pain,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
Incorrect dose administered,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
Injection site reaction,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
Atrial fibrillation,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
Aphasia,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380
Dysphagia,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380
Lymph node pain,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375
Cerebrovascular accident,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
Oropharyngeal pain,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355
Rash erythematous,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Immediate post-injection reaction,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
Balance disorder,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
SARS-CoV-2 test,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335
Lip swelling,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335
Chest X-ray,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
Electrocardiogram,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
Full blood count,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325
Mobility decreased,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Neck pain,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Injection site induration,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
Swelling,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
Computerised tomogram,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
Cardiac arrest,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
Cold sweat,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310
Throat irritation,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Throat tightness,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295
Syncope,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290
Angiogram,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290
Angioedema,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
Discomfort,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
Migraine,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
Blood test normal,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Metabolic function test,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Impaired work ability,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275
Feeling cold,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
Laboratory test,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265
Inappropriate schedule of product administration,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265
Loss of consciousness,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265
Injected limb mobility decreased,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265
Herpes zoster,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
Exposure during pregnancy,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
Swelling face,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
Skin warm,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
Confusional state,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
Blood glucose increased,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Tinnitus,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Unevaluable event,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Unresponsive to stimuli,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Musculoskeletal stiffness,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Hypertension,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Rhinorrhoea,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235
Rash pruritic,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235
Abortion spontaneous,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225
Wheezing,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
Muscular weakness,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
Ear pain,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
Blood pressure decreased,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
Injection site bruising,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
Chest X-ray normal,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
Influenza like illness,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
